"transit_timestamp","transit_mode","station_complex_id","station_complex","borough","payment_method","fare_class_category","ridership","transfers","latitude","longitude","Georeference"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","6","2","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","6","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","6","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","91","24","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","5","3","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","43","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 05:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","8","4","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","1","0","40.69218","-73.98594","POINT (-73.98594 40.69218)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","26","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","25","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","12","5","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","199","39","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","20","6","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","12","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 06:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","22","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","1","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","2","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","3","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","36","10","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","31","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","27","7","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","537","73","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","14","3","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","46","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 07:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","4","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","53","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,204","102","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","38","11","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","17","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Students","7","0","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","12","2","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","5","1","40.692337","-73.98734","POINT (-73.98734 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","39","7","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","4","1","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","55","12","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 08:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","71","1","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 7-Day","37","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","46","11","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Seniors & Disability","10","4","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","22","5","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Other","72","1","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Full Fare","1,099","67","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Fair Fare","18","4","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","62","6","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Unlimited 30-Day","53","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 09:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","42","7","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Seniors & Disability","79","12","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Fair Fare","43","5","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","metrocard","Metrocard - Full Fare","51","3","40.692337","-73.98594","POINT (-73.98594 40.692337)"
"09/02/2025 10:00:00 AM","subway","636","Jay St-MetroTech (A,C,F,R)","Brooklyn","omny","OMNY - Other","15","0","40.692337","-73.98594","POINT (-73.98594 40.692337)"
